"x"
"Magic Johnson Lakes"
"Legg lake"
"Belvedere Park"
"NA"
"Alondra park"
"Santa Ana River Lakes"
"Irvine Lake"
"Santa Fe Dam lake"
"Puddingstone reservoir"
"Kenneth Hahn/Gwen Moore Lake"
"Lake Skinner"
"El Dorado Park Lake"
"Lake Perris"
"Peck Road"
"Silverwood Lake"
"Ralph B. Clark Regional Park lake"
"Carbon Canyon Regional Park"
"Castaic Lake"
"Cerritos Park Lake / Don Knabe"
"Lake Piru"
"Hesperia Lake"
"Prado Dam"
"Tri-City Regional Park"
"Glen Helen Regional Park"
"Lake Forest Lake"
"Gwen Moore Lake"
"Echo Park Lake"
"Lake Balboa"
"Pyramid lake"
"All lakes in LA"
"Canyon Lake reservoir "
"Downey Wilderness Park Lake"
"Lake Ming"
"Crystal Lake"
"Big Bear lake"
"Lincoln Park Lake"
"Lake Isabella"
"June Lake"
"Azusa Wilderness Park"
"Lake Gregory Regional Park"
"Anaheim lake"
"La Mirada Community Regional Park"
"Ken Malloy Harbor Regional Park"
"Yorba Linda"
"Lake Elsinore"
"Laguna Niguel Lake"
"Otay Lakes County Park"
"Craig Regional Park"
"Apollo Community Regional Park"
"Lake Hemet"
"Wilderness Park"
"Lake Mission Viejo"
"The LA river"
"A lake in Ontario"
"CA"
"Rosemead"
"Laguna Lake"
"Lake Evans"
"Cucamonga-Guasti Regional Park"
"East Cabella"
"Jenks Lake"
"MacArthur Park"
"Santa Anita wash"
"Huckleberry pond"
"Lakewood Golf Course"
"Secombe Lake"
"Mile Square Regional Park"
"Diamond Valley Lake"
"Val Verde"
"Cachuma lake"
"Lake Casitas"
"San Gabriel River"
"Bass lake"
"Lake Cachuma"
"Rancho Santa Margarita Lake"
"Hollenbeck Park Lake"
"Lake Huntington"
"Mojave Narrows Regional Park"
"Eisenhower Park"
"Polliwog Park"
"Quail Lake"
"John Anson Ford Park Lake"
"Azusa Canyon"
"San Gabriel Canyon"
"Lake Hodges"
"Reseda Park Lake"
"Copper"
"Fishermans retreat"
"Gravel pit (near Peck)"
"Irvine regional"
"Crestline"
"Unknown"
"Irvine Park"
"Hansen Dam Lake"
"McArthur Park"
"Steelwater"
"Ralph B. Clark Regional Park lake"
"Piru"
"Downey"
"Ontario"
"Yorba Linda Regional Park"
"Los Angeles lakes (many)"
"Doesn't remember names"
"Balboa"
