original_name,lake,county,notes,,,,,
La Mirada Community Regional Park,La Mirada Community Regional Park,Los Angeles,,,,,,
La Mirada Regional Park,La Mirada Community Regional Park,Los Angeles,,,,,,
LA River,LA river,Los Angeles,,,,,,
Laguna,Laguna Lake,Orange,,,,,,
Laguna Lake,Laguna Lake,Orange,,,,,,
Laguna Lake Park,Laguna Lake,Orange,,,,,,
Laguna Niguel,Laguna Niguel Lake,Orange,,,,,,
Laguna Niguel Lake,Laguna Niguel Lake,Orange,,,,,,
Lake Balboa,Lake Balboa,Los Angeles,,,,,,
Lake Cachuma,Cachuma lake,Santa Barbara,,,,,,
Lake Casitas,Lake Casitas,Ventura,,,,,,
Lake Downey,Downey Wilderness Park Lake,Los Angeles,,,,,,
Lake Elsinor,Lake Elsinore,Riverside,,,,,,
Lake Elsinore,Lake Elsinore,Riverside,,,,,,
Lake Evans,Lake Evans,Kern ,,,,,,
Lake Forest,Lake Forest Lake,Orange,,,,,,
Lake Forest Lake,Lake Forest Lake,Orange,,,,,,
Lake Gregory,Lake Gregory Regional Park,San Bernardino,,,,,,
Lake Gregory Regional Park,Lake Gregory Regional Park,San Bernardino,,,,,,
Lake Hemet,Lake Hemet,Riverside,,,,,,
Lake Hodges,Lake Hodges,San Diego,,,,,,
Lake Huntington,Lake Huntington,Orange,,,,,,
Lake Isabella,Lake Isabella,Kern ,,,,,,
Lake Ming,Lake Ming,Kern ,,,,,,
Lake Mission Viejo,Lake Mission Viejo,Orange,,,,,,
Lake Palmdale,Lake Palmdale,Los Angeles,,,,,,
Lake Perris,Lake Perris,Riverside,,,,,,
Lake perris,Lake Perris,Riverside,,,,,,
Lake Piru,Lake Piru,Ventura,,,,,,
Lake Skinner,Lake Skinner,Riverside,,,,,,
Lakewood Golf Course,Lakewood Golf Course,Los Angeles,,,,,,
Legg,Legg lake,Los Angeles,,,,,,
Legg Lake,Legg lake,Los Angeles,,,,,,
Legg lake,Legg lake,Los Angeles,,,,,,
Little Rock reservoir,Little Rock reservoir,Los Angeles,,,,,,
Lincoln,Lincoln Park Lake,Los Angeles,,,,,,
Lincoln Park,Lincoln Park Lake,Los Angeles,,,,,,
Lincoln Park Lake,Lincoln Park Lake,Los Angeles,,,,,,
Macarthur,MacArthur Park,Los Angeles,,,,,,
MacArthur Park,MacArthur Park,Los Angeles,,,,,,
Macarthur Park,MacArthur Park,Los Angeles,,,,,,
McArthur Park,MacArthur Park,Los Angeles,,,,,,
Machado,Ken Malloy Harbor Regional Park,Los Angeles,,,,,,
Machado Lake,Ken Malloy Harbor Regional Park,Los Angeles,,,,,,
Magic Johnson,Magic Johnson Lakes,Los Angeles,,,,,,
Magic Johnson Lakes,Magic Johnson Lakes,Los Angeles,,,,,,
McArthur,MacArthur Park,Los Angeles,,,,,,
Miles Square,Mile Square Regional Park,Orange,,,,,,
Mile Square Regional Park,Mile Square Regional Park,Orange,,,,,,
